5.658842422742820656e-06,-3.653266605588566772e-03,5.809729602788138436e-03,8.598380680073102952e-03
5.000153164735556162e-03,-3.089347445997080666e+00,4.910879996593394026e+00,7.198642744178240349e+00
7.924708712052275575e-03,-4.776097802046058938e+00,7.565585354179802380e+00,1.107012476380103472e+01
1.255981688996893157e-02,-7.283534970163723976e+00,1.146832675865994133e+01,1.673249812119791713e+01
1.990596828746987387e-02,-1.088925166685205248e+01,1.698098989764423550e+01,2.466126320128411464e+01
3.154883362815781578e-02,-1.583640405297832032e+01,2.432353991918967040e+01,3.506403810179932634e+01
5.000153164735555988e-02,-2.221384783107724559e+01,3.336960261999479371e+01,4.752918214851840162e+01
7.924708712052279391e-02,-2.983614156361728931e+01,4.356275063937675895e+01,6.085016899740893592e+01
1.255981688996893331e-01,-3.823439805733745089e+01,5.419009816961931847e+01,7.345687799164699072e+01
1.990596828746987734e-01,-4.680951141600633747e+01,6.487009062561560313e+01,8.422601672796075434e+01
3.154883362815780745e-01,-5.502919103922877753e+01,7.571768194246703843e+01,9.277687629796223234e+01
5.000153164735556821e-01,-6.253477017663301751e+01,8.718149843273556598e+01,9.918745699406200345e+01
