5.658842422742820656e-06,-7.420453394989823433e-03,1.062540058944705379e-02,1.756401829628249228e-02
5.000153164735556162e-03,-6.115135855409780774e+00,8.738240053094386894e+00,1.447959452028980287e+01
7.924708712052275575e-03,-9.319745694590608309e+00,1.328291374937612090e+01,2.204037156770709416e+01
1.255981688996893157e-02,-1.391357457625712968e+01,1.971606118122258522e+01,3.279312777902874387e+01
1.990596828746987387e-02,-2.018335546786824963e+01,2.828932629395626464e+01,4.723677959390522574e+01
3.154883362815781578e-02,-2.818675727107360274e+01,3.875904596574685002e+01,6.507931690765926191e+01
5.000153164735555988e-02,-3.758795174459439892e+01,5.018533890587013957e+01,8.483882260314160817e+01
7.924708712052279391e-02,-4.765574311734384594e+01,6.123314393046553050e+01,1.042026885919792676e+02
1.255981688996893331e-01,-5.750988122423623849e+01,7.090216126378891204e+01,1.212145908036010127e+02
1.990596828746987734e-01,-6.643917728558480462e+01,7.887552414844151372e+01,1.349851698462253182e+02
3.154883362815780745e-01,-7.405070897670807994e+01,8.527879950353997174e+01,1.453647710780668660e+02
5.000153164735556821e-01,-8.024315683174202718e+01,9.039729577195237198e+01,1.524999898417152622e+02
