1.550000000000000044e+00,8.014982658365690238e-01,1.855813182896269620e+00,1.363478694945282843e+00,2.293590250393359842e+00,9.220932892817955695e-01,9.597091031727686961e-01,1.702845204800971679e+00,8.622605444967625932e-01,1.511359933491951857e+00,8.086139268487748666e-01,2.083092682915219651e+00,1.245487877564786405e+00,2.310308048931443370e+00,2.195531725104817866e+00,2.842576783867571955e+00
1.370000000000000107e+00,-7.009218246912428674e-01,-2.467729439489858123e+00,-3.250929992404310021e-01,-2.826328017071503051e+00,-4.191223090021915509e-01,-1.320679380623508981e-01,-8.060793307659642748e-01,-1.212846250201485621e+00,-3.612001012106125786e-01,5.693615718900192357e-01,-1.029861743802093388e+00,-6.596841485828280893e-01,-2.118810282744797213e+00,-1.586883713403387519e+00,-6.218775747828061418e-01
1.190000000000000169e+00,-1.414508905676628459e+00,-5.056193627611957897e-01,-7.868539045320760428e-01,-1.873953640423994038e+00,-1.727747440777762433e+00,-2.257496617894919844e+00,-3.375322863262628648e+00,-1.327891920263847558e-01,-2.158434462724583724e+00,-2.250073146324039097e+00,-6.091850983443261036e-01,-7.254077703861978588e-01,-9.065707783572629630e-01,-2.610438969175109758e+00,-2.230105154590425798e+00
1.010000000000000231e+00,-1.171270566646983813e+00,-7.516339073508354618e-01,-2.467914378695175603e+00,-1.649218903068626618e+00,-7.752310928942519608e-01,-1.513227539828513546e+00,-5.629682993851492512e-01,-1.703085291195953532e+00,-1.453766643162405225e+00,-8.149449379833662022e-01,-2.784924377683267949e+00,-2.752366112053443281e+00,-2.218280618781395930e+00,-1.607753892579413479e+00,-2.726695954575220959e+00
8.300000000000002931e-01,-8.235992767348104815e-01,-2.615103278515765073e+00,-1.712365729831543781e+00,-5.055526427183558713e-01,-7.215291813672459753e-01,-1.222133736482355765e-01,-5.670893435545332206e-01,-4.820598961081689615e-01,-1.062059081674008532e+00,5.497643483375424384e-02,-1.252525538935876037e+00,9.072796105674861833e-01,-1.109700918056956809e+00,7.943410294534022364e-01,-1.290908154892103754e+00
6.500000000000003553e-01,6.132778862169077083e-01,8.113212108986442850e-01,-4.113525683093826046e-01,7.078950236130586715e-01,-1.090351916045631864e+00,-7.270914032779146607e-01,-1.003369525300508158e+00,-6.181086735594619741e-01,-1.096695479095675246e-01,-9.728893378245669910e-01,-3.681776016351001046e-01,-5.732947242664374610e-01,5.086321683538072014e-01,1.696015411816927498e+00,-2.336764716695469701e+00
4.700000000000004174e-01,1.771908425910793339e+00,2.847811405141923990e-01,1.926300373221954687e-01,9.558220889131003872e-01,1.512986294220259431e+00,1.378285774768566840e+00,1.291347953994800513e+00,2.233289279580230602e+00,-2.335568040589031807e-02,8.118527402145803151e-01,9.051150699063531535e-01,5.475725646029996341e-01,1.588700180906928772e+00,-2.879669301403765758e+00,2.236644362775780159e+00
2.900000000000004796e-01,1.584804757728013103e+00,2.239630324295237784e+00,2.540281456383658654e+00,7.142096958707946364e-01,1.633700484516745544e+00,2.047226249309126445e+00,1.500200194901421646e+00,9.506335508119653221e-01,9.381962806461432436e-01,-1.280542011171844630e-01,1.192729255274050271e+00,1.572323317165907230e+00,-4.348198130593988187e-01,1.882129871297724577e+00,1.310386809758545823e+00
1.100000000000005418e-01,-6.050059734979874593e-01,1.480392414110573540e+00,1.661253925932050901e+00,7.472410089089277507e-01,1.342865969649903901e+00,1.001257205517521065e+00,1.372347252761179082e+00,3.260371263187727964e-01,1.664782338684094087e+00,2.225432123121631189e+00,1.537584308256182641e+00,1.780651924768344552e+00,2.129777860759974217e+00,1.727651908358799782e+00,1.447269856658835119e+00
-6.999999999999939604e-02,-6.505827837098213107e-02,8.647486418159403554e-01,1.349987430779297615e+00,2.090800342958464508e+00,1.819551718196038559e+00,-8.235179713171494886e-02,4.364924446960937177e-01,1.557197378834966006e+00,1.204323650673553292e+00,1.440302897612329991e+00,1.219626234620615479e+00,2.232448003581737617e-01,3.787292277607425262e-01,1.991113713958890807e+00,4.894578465039512993e-01
-2.499999999999993339e-01,3.788882103263717105e-01,-1.444638427493983857e+00,-1.043688909090518369e+00,-5.899204709799807933e-01,-1.416085474424572777e+00,-3.287299464900864110e-01,-2.436202310063358967e-01,-3.852845159720744705e-01,5.334378669278484059e-02,-1.232859209564387992e+00,3.948840975591767499e-01,-5.760289817526762501e-01,-4.912132030059874338e-02,1.039542847591113039e+00,2.058794538495053228e+00
-4.299999999999992717e-01,-1.197348875401533785e+00,-9.174178530389206498e-01,-1.060321252268683789e+00,-2.146033232278272695e+00,-2.046832633021058445e+00,9.708572539012597091e-02,-9.132166933675809339e-01,-2.334544902645272479e+00,-1.187311721543169302e-01,-9.523169684364414245e-01,-8.699969140300214399e-01,-4.927881981906290787e-01,8.050055772055081382e-02,-2.827965927920623734e+00,-6.399203468379811577e-01
-6.099999999999992095e-01,-5.206975661892926377e-01,-6.151535649834732888e-01,-7.278149249895748962e-01,-7.263707120461690980e-01,-1.612512639022169125e+00,-1.559631924633054112e+00,-3.067763836479068806e-01,-1.343794598386127914e+00,2.831353417730951907e-02,-1.232514271386439653e+00,-2.737994039643067534e+00,-2.049454716193650494e+00,-9.853144325985463414e-01,-1.933169661823037622e+00,5.004482759522431712e-01
