1.000000000000000021e-03,4.798869124900129179e-03,2.807970005669346847e-03,3.628428997370924947e-04
1.000000000000000000e+00,4.509390991264750070e+00,2.698602260633387040e+00,3.615474942804119962e-01
1.584893192461113598e+00,6.905349486583267193e+00,4.182397350396838576e+00,5.718188218630682051e-01
2.511886431509580131e+00,1.039245606074141648e+01,6.405788765181874567e+00,9.032851086416160413e-01
3.981071705534973137e+00,1.526715558372671033e+01,9.644445214965358559e+00,1.424170988381534553e+00
6.309573444801933384e+00,2.172802277899844725e+01,1.417973572411311878e+01,2.238717473448414985e+00
1.000000000000000000e+01,2.974875824667277868e+01,2.021090690569429427e+01,3.502758352920720686e+00
1.584893192461114175e+01,3.899405714589908456e+01,2.774118958079409936e+01,5.441179873363022779e+00
2.511886431509580930e+01,4.884788804283459740e+01,3.649558238369557017e+01,8.360221155940706694e+00
3.981071705534973404e+01,5.855927529400606346e+01,4.593064796479394829e+01,1.263758862063298949e+01
6.309573444801932851e+01,6.744628973217172074e+01,5.535193681864798521e+01,1.866054716128903124e+01
1.000000000000000000e+02,7.506178471100606941e+01,6.409853698560061730e+01,2.668118045307735642e+01
