-1.160000000000000142e+01,4.437564263826132560e-05,2.162982695064208372e-04
-1.120000000000000107e+01,4.804470248309655744e-05,2.326949823383550608e-04
-1.080000000000000071e+01,5.209239712922197896e-05,2.512371843566008067e-04
-1.040000000000000036e+01,5.661750559493583523e-05,2.717735289592404513e-04
-1.000000000000000000e+01,6.177496759685041638e-05,2.945838567192105018e-04
-9.600000000000001421e+00,6.799529236323209602e-05,3.201275308173379130e-04
-9.200000000000001066e+00,7.752223600832053307e-05,3.490109067638691442e-04
-8.800000000000000711e+00,1.042830400588279360e-04,3.819952556383121589e-04
-8.400000000000000355e+00,2.310345923683954084e-04,4.200363031281462156e-04
-8.000000000000000000e+00,9.063557931621168962e-04,4.643679444749082563e-04
-7.600000000000000533e+00,4.323635715686169334e-03,5.166786797738964765e-04
-7.200000000000000178e+00,2.010117647576192823e-02,5.795697693544710205e-04
-6.800000000000000711e+00,8.571000020927144192e-02,6.580012227086484700e-04
-6.400000000000000355e+00,3.276358136316326330e-01,7.641499162991394201e-04
-6.000000000000000000e+00,1.089444875106593269e+00,9.331383855948338635e-04
-5.600000000000000533e+00,2.972140273118284437e+00,1.269780776447237969e-03
-5.200000000000000178e+00,6.176540257385809696e+00,2.073035831873237811e-03
-4.800000000000000711e+00,9.611347325519560059e+00,4.127667925390987591e-03
-4.400000000000000355e+00,1.207390122356829565e+01,9.294048164965040826e-03
-4.000000000000000000e+00,1.347777440760764556e+01,2.150465545510682475e-02
-3.600000000000000089e+00,1.422299127634158999e+01,4.807612414950979129e-02
-3.200000000000000178e+00,1.462498938972231954e+01,1.007734207354782363e-01
-2.800000000000000266e+00,1.485213266318875469e+01,1.954255068701171716e-01
-2.400000000000000355e+00,1.498537182494257181e+01,3.485999772298908894e-01
-2.000000000000000000e+00,1.506252949204106528e+01,5.707064757138335942e-01
-1.600000000000000089e+00,1.510023719871093029e+01,8.572947008015807668e-01
-1.200000000000000178e+00,1.510359208306050149e+01,1.183153740847120439e+00
-8.000000000000000444e-01,1.507005632307125609e+01,1.504512723906925586e+00
-4.000000000000000222e-01,1.499094607203348417e+01,1.771161352446126713e+00
0.000000000000000000e+00,1.485270642583623690e+01,1.943941859083442303e+00
4.000000000000000222e-01,1.464027642003904361e+01,2.008393304265543300e+00
8.000000000000000444e-01,1.434480091443135485e+01,1.976541783608598557e+00
1.200000000000000178e+00,1.397502586174891270e+01,1.875919532093828224e+00
1.600000000000000089e+00,1.356455304352838276e+01,1.733208113522477500e+00
2.000000000000000000e+00,1.316363937619775548e+01,1.563203802560819700e+00
2.400000000000000355e+00,1.281680784425053332e+01,1.369209895248735265e+00
2.800000000000000266e+00,1.254471279163175090e+01,1.152100745149708949e+00
3.200000000000000178e+00,1.234342626416601263e+01,9.195353259077276853e-01
3.600000000000000089e+00,1.219505092465177398e+01,6.882940705103535173e-01
4.000000000000000000e+00,1.207765885685275720e+01,4.790441659739075320e-01
4.400000000000000355e+00,1.196935634373953405e+01,3.082610793071594024e-01
4.800000000000000711e+00,1.184678206583016369e+01,1.828570662870454555e-01
5.200000000000000178e+00,1.167857691470194403e+01,9.995229805703775838e-02
5.600000000000000533e+00,1.141153669961754247e+01,5.049423520347984251e-02
6.000000000000000000e+00,1.094330706093469274e+01,2.378361849462162780e-02
6.400000000000000355e+00,1.007807892746114220e+01,1.066594828937894590e-02
6.800000000000000711e+00,8.512815451498179087e+00,4.765388893346322874e-03
7.200000000000000178e+00,6.079528544235635046e+00,2.299904310931744078e-03
7.600000000000000533e+00,3.350881848877029778e+00,1.313424304794086339e-03
8.000000000000000000e+00,1.390085487497316752e+00,9.106017784810127580e-04
8.400000000000000355e+00,4.595124392784977196e-01,7.242950436303630113e-04
8.800000000000000711e+00,1.295550000290357495e-01,6.176788947431788301e-04
9.200000000000001066e+00,3.243106148771435215e-02,5.432293161078405319e-04
9.600000000000001421e+00,7.372891463752750951e-03,4.847146451436579184e-04
1.000000000000000000e+01,1.576925390023298235e-03,4.360811904469130695e-04
1.040000000000000036e+01,3.605901106928932620e-04,3.945372748392905748e-04
1.080000000000000071e+01,1.239429316179929685e-04,3.584746535834071324e-04
1.120000000000000107e+01,7.730854584275803631e-05,3.269078280854209595e-04
1.160000000000000142e+01,6.464647646087229305e-05,2.996276693756350085e-04
