1.550000097751617512e+00,6.950000000000000000e+02
1.370000090599060139e+00,2.750000000000000000e+02
1.190000083446502765e+00,1.700000000000000000e+02
1.010000076293945392e+00,1.590000000000000000e+02
8.300000691413879084e-01,1.220000000000000000e+02
6.500000619888305353e-01,1.360000000000000000e+02
4.700000548362731623e-01,1.360000000000000000e+02
2.900000476837157892e-01,1.240000000000000000e+02
1.100000405311584439e-01,1.260000000000000000e+02
-6.999996662139892911e-02,1.400000000000000000e+02
-2.499999737739563022e-01,1.260000000000000000e+02
-4.299999809265137030e-01,1.320000000000000000e+02
-6.099999880790710760e-01,1.100000000000000000e+02
-7.899999952316284491e-01,1.440000000000000000e+02
-9.700000023841858221e-01,1.300000000000000000e+02
-1.150000009536743084e+00,1.520000000000000000e+02
-1.330000016689300457e+00,2.200000000000000000e+02
-1.510000023841857830e+00,3.810000000000000000e+02
