-1.649999999999999911e+00,5.739524962744546599e-04,2.456956499807816385e-04,1.079381900526144022e-05,4.559516542101960113e-06
-1.499999999999999778e+00,3.098783424093642935e-03,1.349237869607833318e-03,5.755595886114406312e-04,2.478011630890897266e-04
-1.349999999999999867e+00,2.624547432433788074e-02,1.147795876506041424e-02,6.153254869611934907e-03,2.660364082540667141e-03
-1.199999999999999956e+00,1.783982388400162655e-01,7.807742824846863883e-02,5.876515227558609666e-02,2.542061230952352702e-02
-1.050000000000000044e+00,7.322595611310434016e-01,3.205432535895780255e-01,3.511793084182257552e-01,1.519273750939076351e-01
-9.000000000000000222e-01,1.570443077471839199e+00,6.875196380980441724e-01,9.740405620511038975e-01,4.214049230299110604e-01
-7.499999999999998890e-01,2.146017264766320043e+00,9.395574549921459351e-01,1.432743816871961950e+00,6.198701357138070023e-01
-5.999999999999999778e-01,2.428904307043722177e+00,1.063458273722062142e+00,1.631521988959361291e+00,7.058820010841238002e-01
-4.500000000000000111e-01,2.567278320693588967e+00,1.124081052674341663e+00,1.716449676965148274e+00,7.426350167263562341e-01
-2.999999999999999889e-01,2.638832247327649316e+00,1.155437776725054544e+00,1.756765222609601995e+00,7.600841280987813420e-01
-1.499999999999999944e-01,2.674214561801191437e+00,1.170946278601436852e+00,1.775838830144726987e+00,7.683402831610175454e-01
0.000000000000000000e+00,2.685041252682673907e+00,1.175692203315303885e+00,1.781563792562035342e+00,7.708184999601463971e-01
1.499999999999999944e-01,2.674660209251400467e+00,1.171141498220695798e+00,1.776060090015041393e+00,7.684360294408110192e-01
2.999999999999999889e-01,2.641313964011582360e+00,1.156525315163858814e+00,1.758174951556978893e+00,7.606942842913300140e-01
4.500000000000000111e-01,2.577885697949156008e+00,1.128729496768787754e+00,1.723237352736850525e+00,7.455728435071584670e-01
5.999999999999999778e-01,2.469211229450829492e+00,1.081119056464763251e+00,1.660900090153416553e+00,7.185962543161394933e-01
7.499999999999998890e-01,2.287443614598982933e+00,1.001509604185235602e+00,1.551033518980060588e+00,6.710575242123595352e-01
9.000000000000000222e-01,1.988978156987508683e+00,8.708170877168242008e-01,1.358009470723930967e+00,5.875431356635707481e-01
1.050000000000000044e+00,1.528991035722504499e+00,6.694150932232023621e-01,1.034875579233451859e+00,4.477374118134536118e-01
1.199999999999999956e+00,9.387478289565098777e-01,4.109876400273271280e-01,6.010234787211077290e-01,2.600295608463421004e-01
1.349999999999999867e+00,4.158542610472548695e-01,1.820531006435643917e-01,2.385547379383679001e-01,1.032074237193536526e-01
1.499999999999999778e+00,1.320448308392396797e-01,5.779973952940720139e-02,6.746301489044537192e-02,2.918568360659179461e-02
1.649999999999999911e+00,3.276494906638838245e-02,1.433714430126853401e-02,1.235075943739616378e-05,5.217200260698717784e-06
1.800000000000000044e+00,4.544931602179502761e-05,1.920244884212607417e-05,9.156359415118942024e-06,3.867822451208979828e-06
1.949999999999999956e+00,1.588003741836985228e-05,6.708033994939910372e-06,7.390270617690930521e-06,3.121792468974149415e-06
