1.000000000000000021e-03,3.757617904796006769e-04,1.756524496272504621e-04
1.000000000000000000e+00,3.657382241744926432e-01,1.737033865766477447e-01
1.584893192461113598e+00,5.710911470638677656e-01,2.735310783026250192e-01
2.511886431509580131e+00,8.847940130337974551e-01,4.291617547785335773e-01
3.981071705534973137e+00,1.355482148393292618e+00,6.695894110827111945e-01
6.309573444801933384e+00,2.045206111841281427e+00,1.036002514209087622e+00
1.000000000000000000e+01,3.028052481318042055e+00,1.583686612144759920e+00
1.584893192461114175e+01,4.386703922685086354e+00,2.381006025095445011e+00
2.511886431509580930e+01,6.222500549252401925e+00,3.507957664068641179e+00
3.981071705534973404e+01,8.652124900997335999e+00,5.055703884318319297e+00
6.309573444801932851e+01,1.181038307051855440e+01,7.131947492143552836e+00
1.000000000000000000e+02,1.585079612809866489e+01,9.864180991277265775e+00
