1.000000000000000021e-03,2.548377248379196658e-03,1.497025768237847387e-03,3.628428997370924947e-04
1.000000000000000000e+00,2.466967326368019187e+00,1.466205279063470535e+00,3.615474942804119962e-01
1.584893192461113598e+00,3.838330817725466027e+00,2.296192099481730864e+00,5.718188218630682051e-01
2.511886431509580131e+00,5.912425155313116854e+00,3.572217812251765601e+00,9.032851086416160413e-01
3.981071705534973137e+00,8.973066085087911148e+00,5.501831458755002124e+00,1.424170988381534553e+00
6.309573444801933384e+00,1.333234112787184955e+01,8.349282223041909035e+00,2.238717473448414985e+00
1.000000000000000000e+01,1.924739778672800483e+01,1.240691896277958861e+01,3.502758352920720686e+00
1.584893192461114175e+01,2.679090512092500020e+01,1.792172676104237894e+01,5.441179873363022779e+00
2.511886431509580930e+01,3.573417642791719828e+01,2.498133798179487286e+01,8.360221155940706694e+00
3.981071705534973404e+01,4.553180630784217442e+01,3.340847500931732839e+01,1.263758862063298949e+01
6.309573444801932851e+01,5.543930644849967848e+01,4.273571259555022550e+01,1.866054716128903124e+01
1.000000000000000000e+02,6.471376891437598999e+01,5.229199223015804421e+01,2.668118045307735642e+01
