1.000000000000000021e-03,4.641740599709009985e-05,1.972805182504089316e-05,2.602692910613768618e-05,1.048882307941312320e-05
1.000000000000000000e+00,4.635467765183420852e-02,1.966470533679398613e-02,2.591013363368688260e-02,1.098456415076043413e-02
1.584893192461113598e+00,7.313739741931613025e-02,3.111650936128285139e-02,4.091943115915341878e-02,1.738368033647930133e-02
2.511886431509580131e+00,1.151295351062628924e-01,4.916848458427125479e-02,6.449385825291642504e-02,2.748741744704830126e-02
3.981071705534973137e+00,1.805537367900740264e-01,7.757479093078245569e-02,1.013370801883866079e-01,4.340543453736245283e-02
6.309573444801933384e+00,2.815874691182784773e-01,1.220935345347982093e-01,1.584917803800465208e-01,6.840268503623292418e-02
1.000000000000000000e+01,4.356405151957005728e-01,1.914309885009402024e-01,2.461950515102842019e-01,1.074560619095166203e-01
1.584893192461114175e+01,6.663351692460253162e-01,2.983507559560791833e-01,3.785629939357875173e-01,1.679166767747801714e-01
2.511886431509580930e+01,1.004719181026189290e+00,4.613069469783681598e-01,5.747660486319432493e-01,2.606627778545771434e-01
3.981071705534973404e+01,1.488754326275341100e+00,7.054131654042521404e-01,8.587071184465457918e-01,4.007723245389911426e-01
6.309573444801932851e+01,2.163446275913571526e+00,1.063227137717234427e+00,1.259124027729228601e+00,6.082913614579297246e-01
1.000000000000000000e+02,3.081442130228055021e+00,1.574666506660889809e+00,1.809778290941920886e+00,9.084183486097003879e-01
