1.000000000000000021e-03,3.563739227274709265e-05,3.909426035875185335e-05,7.501103931417674175e-05,8.586289732193108648e-05
1.000000000000000000e+00,3.684580545794347017e-02,3.846814737650561256e-02,7.402016150007284523e-02,8.558957251887022721e-02
1.584893192461113598e+00,5.797316459174339798e-02,6.078250253253258961e-02,1.171243061442908129e-01,1.355076060053477249e-01
2.511886431509580131e+00,9.084653910878159877e-02,9.587505804051943414e-02,1.851495328117209738e-01,2.144170730613268461e-01
3.981071705534973137e+00,1.414363464814698546e-01,1.508240983101245547e-01,2.922556782614549320e-01,3.389507917075889054e-01
6.309573444801933384e+00,2.180219835743741896e-01,2.363045265415166796e-01,4.602698939206675277e-01,5.350314331508911891e-01
1.000000000000000000e+01,3.310593047181669135e-01,3.680013207406034326e-01,7.223665750750001280e-01,8.426288545983879885e-01
1.584893192461114175e+01,4.900463680637585639e-01,5.680561338760981016e-01,1.127388320306181413e+00,1.323106629411284985e+00
2.511886431509580930e+01,6.896019736522873700e-01,8.651368171774151961e-01,1.742684962923476633e+00,2.071924919986344094e+00
3.981071705534973404e+01,9.424379333541708093e-01,1.300257744209829980e+00,2.671241872989043031e+00,3.216968148311934783e+00
6.309573444801932851e+01,1.250980638953507196e+00,1.929594780605157212e+00,4.050258252561832251e+00,4.942029516890528384e+00
1.000000000000000000e+02,1.638676846665077846e+00,2.837482066578303375e+00,6.069338763284662264e+00,7.495363353377825888e+00
