-1.649999999999999911e+00,4.861083731488857751e-03,7.219246795253653204e-04
-1.499999999999999778e+00,1.262256965117725116e-02,2.049702269257824838e-03
-1.349999999999999867e+00,7.608380901487077352e-02,9.919053845919290069e-03
-1.199999999999999956e+00,4.940080520524081642e-01,8.336303183623661184e-02
-1.050000000000000044e+00,2.172247889689926659e+00,5.389653011919959269e-01
-9.000000000000000222e-01,5.352540244763936528e+00,1.895130187139348887e+00
-7.499999999999998890e-01,8.161432463146534033e+00,3.480322969386295817e+00
-5.999999999999999778e-01,9.785305926256182119e+00,4.435282697877374503e+00
-4.500000000000000111e-01,1.064237075260255949e+01,4.909752473202999568e+00
-2.999999999999999889e-01,1.109994128199127772e+01,5.148941258000694354e+00
-1.499999999999999944e-01,1.132915107418672740e+01,5.264800486803999924e+00
0.000000000000000000e+00,1.139964655962409878e+01,5.299884266266296606e+00
1.499999999999999944e-01,1.133216196769136808e+01,5.266214689506332647e+00
2.999999999999999889e-01,1.111609602875413039e+01,5.157511376553625126e+00
4.500000000000000111e-01,1.070924017945225160e+01,4.949077365602960299e+00
5.999999999999999778e-01,1.002782305828693410e+01,4.592337134808433419e+00
7.499999999999998890e-01,8.941040510943587094e+00,4.015910753537522027e+00
9.000000000000000222e-01,7.310690458221669630e+00,3.155977241604446260e+00
1.050000000000000044e+00,5.141777556371874169e+00,2.048414689948818701e+00
1.199999999999999956e+00,2.845425657927214136e+00,9.834725292565238419e-01
1.349999999999999867e+00,1.156715286723430935e+00,3.307256467737218486e-01
1.499999999999999778e+00,3.486842854221738897e-01,8.134678547333518139e-02
1.649999999999999911e+00,8.402441854390430009e-02,8.257773503661525183e-04
1.800000000000000044e+00,3.164485692541685324e-03,6.124392860962224461e-04
1.949999999999999956e+00,1.270069424452735518e-03,4.943250500266671565e-04
