1.000000000000000021e-03,-1.067573654910808356e-05,-1.685402490239420811e-05,1.070323678408602201e-05,2.639784396124211720e-06
1.000000000000000000e+00,-1.064849158606623845e-02,-1.675474868659481559e-02,1.148288021792619011e-02,2.968566814162153667e-03
1.584893192461113598e+00,-1.731847955762464558e-02,-2.681005163974878661e-02,1.802130576485459074e-02,4.598040119636596056e-03
2.511886431509580131e+00,-2.853066773369963838e-02,-4.311672112871271084e-02,2.809917003536745866e-02,7.029622115431198581e-03
3.981071705534973137e+00,-4.783775547159711816e-02,-6.983976746836000060e-02,4.340719189449264437e-02,1.050009740135933282e-02
6.309573444801933384e+00,-8.203822101817415113e-02,-1.142311449823320280e-01,6.604797008526507029e-02,1.509293495712670484e-02
1.000000000000000000e+01,-1.443095079170269579e-01,-1.890571931409125161e-01,9.812327030377654413e-02,2.026124958283446326e-02
1.584893192461114175e+01,-2.636158166905854805e-01,-3.191684859983769385e-01,1.383138993846687870e-01,2.241482055254113287e-02
2.511886431509580930e+01,-5.142146761069693595e-01,-5.607431750148512695e-01,1.663501350633743991e-01,4.840580558243062596e-03
3.981071705534973404e+01,-9.402021671534089853e-01,-9.502740037962446040e-01,1.818282392310986428e-01,-3.581234712641270107e-02
6.309573444801932851e+01,-1.620201426423292235e+00,-1.542237826307909065e+00,1.605246442907706239e-01,-1.159009117673461126e-01
1.000000000000000000e+02,-2.602502568437327746e+00,-2.360388573970940040e+00,7.393414867984787753e-02,-2.466243289310798281e-01
