3.560864654345309521e+00,6.501768464384216628e-03,1.898465992532516466e-02,1.155794005923693746e-02
3.363038840215014424e+00,2.241498276304154658e-02,2.587874726147632032e-02,1.318895522550711519e-02
3.165213026084719328e+00,1.201449516868624556e-01,5.007304567703485532e-02,1.525244488711496871e-02
2.967387211954424231e+00,6.472042098995212100e-01,1.592177208794898213e-01,1.805988320418006055e-02
2.769561397824129578e+00,2.988465502926018758e+00,6.335014545118533569e-01,2.261844443048888209e-02
2.571735583693834037e+00,1.067781321563261443e+01,2.376318830711665608e+00,3.257184927120126972e-02
2.373909769563539829e+00,2.603878322427559766e+01,7.276717310350888646e+00,6.047218851574776011e-02
2.176083955433244732e+00,4.226528005139169863e+01,1.662142127293962801e+01,1.445317754052544146e-01
1.978258141302949857e+00,5.251628924877137194e+01,2.785262238951908742e+01,3.838605255481630785e-01
1.780432327172654761e+00,5.770700244111656474e+01,3.698939362781693774e+01,9.905659328840688005e-01
1.582606513042359664e+00,6.033843965112375685e+01,4.299038923495389497e+01,2.320594242174089938e+00
1.384780698912064789e+00,6.180740116005642193e+01,4.669984105785864870e+01,4.791152423199251942e+00
1.186954884781769914e+00,6.272526006766439366e+01,4.902521746974392158e+01,8.612983979913735766e+00
9.891290706514749287e-01,6.335389675446801050e+01,5.052240979106611718e+01,1.347576972923644156e+01
7.913032565211798319e-01,6.381007510933009996e+01,5.148741380485636654e+01,1.853380616862273556e+01
5.934774423908849572e-01,6.414872473271913123e+01,5.207292787009103563e+01,2.280264025308656883e+01
3.956516282605899160e-01,6.439832409437586591e+01,5.236131649470286931e+01,2.561818013614083256e+01
1.978258141302949580e-01,6.457900713405257420e+01,5.241131361968114533e+01,2.682415051355084756e+01
-0.000000000000000000e+00,6.471376891437598999e+01,5.229199223015804421e+01,2.668118045307735642e+01
-1.978258141302949580e-01,6.483082898118880166e+01,5.209385504930656907e+01,2.561288356034215852e+01
-3.956516282605899160e-01,6.495142901629928645e+01,5.189534929864786506e+01,2.391012649898918241e+01
-5.934774423908849572e-01,6.507289668811692707e+01,5.170737295127767652e+01,2.158765346319822953e+01
-7.913032565211798319e-01,6.516808419328576463e+01,5.146105826547658069e+01,1.852422671216850247e+01
-9.891290706514749287e-01,6.519795495860982726e+01,5.104173225674563241e+01,1.475649294789388399e+01
-1.186954884781769914e+00,6.511591661392034780e+01,5.030888104681592665e+01,1.065982260719212604e+01
-1.384780698912064789e+00,6.485415623865924317e+01,4.907019320542270435e+01,6.851897434029896594e+00
-1.582606513042359664e+00,6.428658998800591462e+01,4.700861730127051885e+01,3.875255262915389132e+00
-1.780432327172654761e+00,6.314337718228176755e+01,4.356282166394663591e+01,1.925248848811644820e+00
-1.978258141302949857e+00,6.080730645602301365e+01,3.783108571483298732e+01,8.479073344071830221e-01
-2.176083955433244732e+00,5.588254241816610346e+01,2.894198130295598759e+01,3.397266797397824334e-01
-2.373909769563539829e+00,4.583039200620186193e+01,1.775668694417736759e+01,1.316881990981233486e-01
-2.571735583693834037e+00,2.934431242093224057e+01,8.082361859352948485e+00,5.589378258336052951e-02
-2.769561397824129578e+00,1.275381829684435431e+01,2.746056441447863872e+00,3.000359704187216536e-02
-2.967387211954424231e+00,3.791018844315252601e+00,7.484221507858657141e-01,2.070196022465609076e-02
-3.165213026084719328e+00,8.649416151203181968e-01,1.803699845065787066e-01,1.652480041437476288e-02
-3.363038840215014424e+00,1.657907545661752025e-01,4.655155557954371304e-02,1.400665857450578144e-02
-3.560864654345309521e+00,2.915282159881016355e-02,1.828758406866581865e-02,1.216799158851866736e-02
